MY_ID,OTHER_ID,VALUE
did:indy:8dbe7288ab373196,did:indy:d29cbe66d6ec3edd,1
did:indy:c261ff5ec97e1a57,did:indy:d29cbe66d6ec3edd,1
did:indy:c261ff5ec97e1a57,did:indy:9f7d360e01593e9c,1
did:indy:c261ff5ec97e1a57,did:indy:5c2803deafdfbc06,1
did:indy:1b585f97c25bc354,did:indy:d29cbe66d6ec3edd,1
did:indy:66b6fa905b2357f4,did:indy:50186291f0a55ae3,0
did:indy:c40fc38d3ab00214,did:indy:5c2803deafdfbc06,1
did:indy:c40fc38d3ab00214,did:indy:d29cbe66d6ec3edd,1
did:indy:7e7e00829375eb3a,did:indy:9f7d360e01593e9c,1
did:indy:afe997985dc6ba2e,did:indy:d29cbe66d6ec3edd,1
did:indy:beb0145892106427,did:indy:d362c13582932671,1
did:indy:aae5700ece234867,did:indy:d29cbe66d6ec3edd,1
did:indy:ed0ff115ffb8d419,did:indy:5c2803deafdfbc06,1
did:indy:95a277ced99a28b9,did:indy:d29cbe66d6ec3edd,1
did:indy:95a277ced99a28b9,did:indy:5c2803deafdfbc06,1
did:indy:9def0fa94b5a72f0,did:indy:d29cbe66d6ec3edd,1
did:indy:0f5fe4e52d86691c,did:indy:5c2803deafdfbc06,1
did:indy:699b9e85ebe84c3b,did:indy:5c2803deafdfbc06,1
did:indy:699b9e85ebe84c3b,did:indy:d29cbe66d6ec3edd,1
did:indy:ffd83e10cecc5f19,did:indy:5c2803deafdfbc06,1
did:indy:ffd83e10cecc5f19,did:indy:d29cbe66d6ec3edd,1
did:indy:9998d39a23d3a256,did:indy:5c2803deafdfbc06,1
did:indy:6e4b0b9f5fcaffd9,did:indy:50186291f0a55ae3,1
did:indy:c7b6378f76a3b144,did:indy:9f7d360e01593e9c,1
did:indy:c7b6378f76a3b144,did:indy:50186291f0a55ae3,1
did:indy:63baacfc5179a7c6,did:indy:9f7d360e01593e9c,1
did:indy:de1afb8bd8dfc96e,did:indy:5c2803deafdfbc06,1
did:indy:fc455279f4610052,did:indy:9f7d360e01593e9c,1
did:indy:f4c37bf0cf625685,did:indy:5c2803deafdfbc06,1
did:indy:0a92570457ff864c,did:indy:5c2803deafdfbc06,1
did:indy:bcbe480ef6b8cd65,did:indy:5c2803deafdfbc06,1
did:indy:bcbe480ef6b8cd65,did:indy:d29cbe66d6ec3edd,1
did:indy:cf123f52eb721fe0,did:indy:d29cbe66d6ec3edd,1
did:indy:d56d527895e55e34,did:indy:5c2803deafdfbc06,1
did:indy:781b00bc12e2e944,did:indy:d29cbe66d6ec3edd,1
did:indy:b280130565e1cfc2,did:indy:5c2803deafdfbc06,1
did:indy:b940326bb9496a1f,did:indy:d29cbe66d6ec3edd,1
did:indy:b940326bb9496a1f,did:indy:5c2803deafdfbc06,1
did:indy:3cf2c27de7b0a6e3,did:indy:5c2803deafdfbc06,1
did:indy:e46effccdbd78378,did:indy:9f7d360e01593e9c,1
did:indy:c489d6a873b6ee79,did:indy:d29cbe66d6ec3edd,1
did:indy:c489d6a873b6ee79,did:indy:5c2803deafdfbc06,1
did:indy:61a9fb7f6568f718,did:indy:5c2803deafdfbc06,1
did:indy:93ebba30b93bc78a,did:indy:5c2803deafdfbc06,1
did:indy:b0d72e62d5185364,did:indy:5c2803deafdfbc06,1
did:indy:102d37c04d4cf578,did:indy:5c2803deafdfbc06,1
did:indy:97ae1c9ad12abd0b,did:indy:d29cbe66d6ec3edd,1
did:indy:97ae1c9ad12abd0b,did:indy:50186291f0a55ae3,1
did:indy:97ae1c9ad12abd0b,did:indy:5c2803deafdfbc06,1
did:indy:97ae1c9ad12abd0b,did:indy:9f7d360e01593e9c,1
did:indy:0f4fc0a35f45b679,did:indy:5c2803deafdfbc06,1
did:indy:e1dfab1bb1067eea,did:indy:5c2803deafdfbc06,1
did:indy:e1dfab1bb1067eea,did:indy:9f7d360e01593e9c,1
did:indy:e1dfab1bb1067eea,did:indy:50186291f0a55ae3,1
did:indy:4aeebf5c6ef7bb04,did:indy:d29cbe66d6ec3edd,1
did:indy:4aeebf5c6ef7bb04,did:indy:5c2803deafdfbc06,1
did:indy:b6f11f104f4f404c,did:indy:50186291f0a55ae3,1
did:indy:a321efe8d6d356eb,did:indy:5c2803deafdfbc06,1
did:indy:84387d08c0520c2a,did:indy:5c2803deafdfbc06,1
did:indy:aab2e4647e9a5694,did:indy:9f7d360e01593e9c,0
did:indy:0dfb82a25507c634,did:indy:5c2803deafdfbc06,1
did:indy:0dfb82a25507c634,did:indy:d29cbe66d6ec3edd,1
did:indy:c22752f3419b9e7d,did:indy:801bff4662e9a9cd,1
did:indy:59c86d69b02c6c6c,did:indy:9f7d360e01593e9c,1
did:indy:7ced776a82263470,did:indy:d29cbe66d6ec3edd,1
did:indy:74684806d03f8d77,did:indy:801bff4662e9a9cd,1
did:indy:2a57c52745895390,did:indy:5c2803deafdfbc06,1
did:indy:644bfb36e39785e4,did:indy:5c2803deafdfbc06,1
did:indy:644bfb36e39785e4,did:indy:e71ea3c452f10fb9,1
did:indy:52919be81bd2c8b3,did:indy:801bff4662e9a9cd,1
did:indy:52919be81bd2c8b3,did:indy:9f7d360e01593e9c,1
did:indy:223ec2d59f38b7df,did:indy:2a63dc38cc2caa83,1
did:indy:a5b496fc0350011e,did:indy:d29cbe66d6ec3edd,1
did:indy:a5b496fc0350011e,did:indy:9f7d360e01593e9c,1
did:indy:a5b496fc0350011e,did:indy:e71ea3c452f10fb9,1
did:indy:30c78d0c186fc6c7,did:indy:801bff4662e9a9cd,1
did:indy:ea453523dea9a4f0,did:indy:d362c13582932671,1
did:indy:7fcb82d68bf162d4,did:indy:9f7d360e01593e9c,1
did:indy:b994b2cd45305232,did:indy:50186291f0a55ae3,1
did:indy:8831c0b5d3d8f23f,did:indy:1e7d54bc14de0a47,1
did:indy:9f18849fa774fd04,did:indy:5c2803deafdfbc06,1
did:indy:95a9e5f58a342872,did:indy:d29cbe66d6ec3edd,1
did:indy:95a9e5f58a342872,did:indy:5c2803deafdfbc06,1
did:indy:95a9e5f58a342872,did:indy:9f7d360e01593e9c,1
did:indy:fb2d0412eb6c8268,did:indy:5c2803deafdfbc06,1
did:indy:daff02eee9bcd746,did:indy:239579ddadd00f86,0
did:indy:d1c694f062786bca,did:indy:5c2803deafdfbc06,1
did:indy:d1c694f062786bca,did:indy:d29cbe66d6ec3edd,1
did:indy:33f8a70b812db08e,did:indy:1e7d54bc14de0a47,1
did:indy:33f8a70b812db08e,did:indy:9f7d360e01593e9c,1
did:indy:a2fd8b10afff198b,did:indy:9f7d360e01593e9c,1
did:indy:242a01a06261db4e,did:indy:d29cbe66d6ec3edd,1
did:indy:242a01a06261db4e,did:indy:50186291f0a55ae3,1
did:indy:0742390b89af04a0,did:indy:d29cbe66d6ec3edd,1
did:indy:a58eaaf6a8e84d4a,did:indy:5c2803deafdfbc06,1
did:indy:1cad126594f91bde,did:indy:9f7d360e01593e9c,0
did:indy:1d89d86035d828a1,did:indy:d362c13582932671,1
did:indy:45bb548cf4bb6bee,did:indy:9f7d360e01593e9c,1
did:indy:182c136a6d753541,did:indy:50186291f0a55ae3,1
did:indy:182c136a6d753541,did:indy:9f7d360e01593e9c,0
did:indy:9d765bb82d69fa20,did:indy:9f7d360e01593e9c,1
did:indy:b2ddd04aea653411,did:indy:9f7d360e01593e9c,1
did:indy:709aab814eabf216,did:indy:9f7d360e01593e9c,1
did:indy:4f159959cc93af29,did:indy:801bff4662e9a9cd,1
did:indy:e27c0ea27f5f96b0,did:indy:9f7d360e01593e9c,1
did:indy:1a2a8dca3564456f,did:indy:9f7d360e01593e9c,1
did:indy:5e12ba07df3c754f,did:indy:50186291f0a55ae3,1
did:indy:75d54184865eb76f,did:indy:801bff4662e9a9cd,1
did:indy:3da9425f54c1721a,did:indy:801bff4662e9a9cd,1
did:indy:789301d1faeff7db,did:indy:50186291f0a55ae3,1
did:indy:8b10118866c3bd67,did:indy:677fb496d29b0648,1
did:indy:6d7b4e604099d676,did:indy:9f7d360e01593e9c,1
did:indy:f4e494b11e1765a6,did:indy:9f7d360e01593e9c,1
did:indy:cb5112df79dadb91,did:indy:677fb496d29b0648,1
did:indy:1ad444857061c027,did:indy:677fb496d29b0648,1
did:indy:3da9425f54c1721a,did:indy:50186291f0a55ae3,1
did:indy:1ad444857061c027,did:indy:9f7d360e01593e9c,1
did:indy:5a9ee0fa69918d30,did:indy:9f7d360e01593e9c,1
did:indy:857794f07350a691,did:indy:9f7d360e01593e9c,1
did:indy:1fb1de1d65d05548,did:indy:9f7d360e01593e9c,1
did:indy:35f296e10795afb6,did:indy:677fb496d29b0648,1
did:indy:7eed7389a15494b8,did:indy:50186291f0a55ae3,1
did:indy:75d54184865eb76f,did:indy:9f7d360e01593e9c,1
did:indy:71f52af1bd2dcc13,did:indy:50186291f0a55ae3,1
did:indy:d85eac1e690afb01,did:indy:9f7d360e01593e9c,1
did:indy:1532ff278fcfedf8,did:indy:9f7d360e01593e9c,1
did:indy:5c066b396083cecf,did:indy:677fb496d29b0648,1
did:indy:4a6145df508ed0a2,did:indy:9f7d360e01593e9c,1
did:indy:2398c708d401d78c,did:indy:50186291f0a55ae3,1
did:indy:be1a1e4399772150,did:indy:5c2803deafdfbc06,1
did:indy:3fcdeee287c5c787,did:indy:9f7d360e01593e9c,1
did:indy:e9e08ade4fb585f0,did:indy:9f7d360e01593e9c,1
did:indy:a9b296ebc7479415,did:indy:677fb496d29b0648,1
did:indy:242a01a06261db4e,did:indy:9f7d360e01593e9c,1
did:indy:beb0145892106427,did:indy:677fb496d29b0648,1
did:indy:85d041a01b0d7980,did:indy:9f7d360e01593e9c,1
did:indy:868426a7b404a27c,did:indy:677fb496d29b0648,1
did:indy:47ea11ce9800fc06,did:indy:50186291f0a55ae3,1
did:indy:3fc6c23180344aa2,did:indy:677fb496d29b0648,1
did:indy:3db8b53c8ea8bd1a,did:indy:50186291f0a55ae3,1
did:indy:f183c51523cb4d6a,did:indy:677fb496d29b0648,1
did:indy:3e114e8aafb1ba3a,did:indy:9f7d360e01593e9c,1
did:indy:5e04ad96ef3e55f1,did:indy:677fb496d29b0648,1
did:indy:223ec2d59f38b7df,did:indy:9f7d360e01593e9c,0
did:indy:5303d50e026f63f9,did:indy:677fb496d29b0648,1
did:indy:9d765bb82d69fa20,did:indy:50186291f0a55ae3,1
did:indy:152aabc76c2c0ca4,did:indy:50186291f0a55ae3,1
did:indy:d096447cd6154ff6,did:indy:50186291f0a55ae3,1
did:indy:ca19daf83aee0cb5,did:indy:2a63dc38cc2caa83,1
did:indy:6d7b4e604099d676,did:indy:677fb496d29b0648,1
did:indy:628fc2c176bbd4d1,did:indy:9f7d360e01593e9c,1
did:indy:e00dffd55422f753,did:indy:50186291f0a55ae3,1
did:indy:e08b1dba6222a8c3,did:indy:9f7d360e01593e9c,1
did:indy:7dd6d4328822990d,did:indy:677fb496d29b0648,1
did:indy:e4cd9218688c077b,did:indy:50186291f0a55ae3,1
did:indy:de1d5826ab837bec,did:indy:677fb496d29b0648,1
did:indy:aab2e4647e9a5694,did:indy:2a63dc38cc2caa83,0
did:indy:9d765bb82d69fa20,did:indy:f2c4d7de9d8556e8,1
did:indy:9953300451f305e3,did:indy:677fb496d29b0648,1
did:indy:d096447cd6154ff6,did:indy:9f7d360e01593e9c,1
did:indy:d096447cd6154ff6,did:indy:6536dec2e7de4e60,1
did:indy:70b9cd30ae88a8c9,did:indy:50186291f0a55ae3,1
did:indy:7eed7389a15494b8,did:indy:677fb496d29b0648,1
did:indy:9044d320d309cf0d,did:indy:9f7d360e01593e9c,1
did:indy:38dc90a69c3cb25b,did:indy:677fb496d29b0648,1
did:indy:9d765bb82d69fa20,did:indy:677fb496d29b0648,1
did:indy:274b19da10ba68a1,did:indy:677fb496d29b0648,1
did:indy:615405987d45b7d5,did:indy:9f7d360e01593e9c,0
did:indy:ca6bfa716aca76ef,did:indy:677fb496d29b0648,1
did:indy:9044d320d309cf0d,did:indy:677fb496d29b0648,1
did:indy:03ba08f236724a1a,did:indy:677fb496d29b0648,1
did:indy:3e114e8aafb1ba3a,did:indy:677fb496d29b0648,1
did:indy:3fcdeee287c5c787,did:indy:677fb496d29b0648,1
did:indy:f183c51523cb4d6a,did:indy:50186291f0a55ae3,1
did:indy:47ea11ce9800fc06,did:indy:677fb496d29b0648,1
did:indy:4105797a4459fbc0,did:indy:677fb496d29b0648,1
did:indy:3d45d6a979aa5de6,did:indy:801bff4662e9a9cd,0
did:indy:bfbc61f171c4664d,did:indy:9f7d360e01593e9c,1
did:indy:97ff0694ef150285,did:indy:50186291f0a55ae3,0
did:indy:9edeb2900a99d3b3,did:indy:50186291f0a55ae3,1
did:indy:80918e14da748122,did:indy:9f7d360e01593e9c,1
did:indy:e00dffd55422f753,did:indy:677fb496d29b0648,1
did:indy:8215659744b06b50,did:indy:50186291f0a55ae3,1
did:indy:cdf143423616de65,did:indy:677fb496d29b0648,1
did:indy:d096447cd6154ff6,did:indy:239579ddadd00f86,1
did:indy:903b81a47f390cb9,did:indy:50186291f0a55ae3,1
did:indy:87465b0bb537e4ba,did:indy:50186291f0a55ae3,1
did:indy:9edeb2900a99d3b3,did:indy:9f7d360e01593e9c,0
did:indy:75d54184865eb76f,did:indy:677fb496d29b0648,1
did:indy:fc455279f4610052,did:indy:677fb496d29b0648,1
did:indy:ca6bfa716aca76ef,did:indy:9f7d360e01593e9c,1
did:indy:3a99367f623d136b,did:indy:50186291f0a55ae3,1
did:indy:240c13b7c756caee,did:indy:50186291f0a55ae3,0
did:indy:1d89d86035d828a1,did:indy:9f7d360e01593e9c,1
did:indy:9edeb2900a99d3b3,did:indy:677fb496d29b0648,1
did:indy:3a99367f623d136b,did:indy:677fb496d29b0648,1
did:indy:f4e494b11e1765a6,did:indy:677fb496d29b0648,1
did:indy:895ff1578ff0b736,did:indy:d29cbe66d6ec3edd,1
did:indy:643cea9abea5721e,did:indy:f2c4d7de9d8556e8,1
did:indy:a23e3181effc87fe,did:indy:677fb496d29b0648,1
did:indy:1532ff278fcfedf8,did:indy:677fb496d29b0648,1
did:indy:beb0145892106427,did:indy:9f7d360e01593e9c,1
did:indy:e66973990a0a167f,did:indy:9f7d360e01593e9c,1
did:indy:bfbc61f171c4664d,did:indy:677fb496d29b0648,1
did:indy:2f9179333ee695ba,did:indy:9f7d360e01593e9c,1
did:indy:5a9ee0fa69918d30,did:indy:50186291f0a55ae3,1
did:indy:0b655011ee641039,did:indy:801bff4662e9a9cd,0
did:indy:0f98ad0c9883faaf,did:indy:50186291f0a55ae3,1
did:indy:fe903b390c4b4d84,did:indy:50186291f0a55ae3,1
did:indy:80918e14da748122,did:indy:677fb496d29b0648,1
did:indy:89bf9badb6d006b3,did:indy:677fb496d29b0648,1
did:indy:74684806d03f8d77,did:indy:677fb496d29b0648,1
did:indy:f077746785609e5d,did:indy:677fb496d29b0648,1
did:indy:0f98ad0c9883faaf,did:indy:9f7d360e01593e9c,0
did:indy:1d89d86035d828a1,did:indy:50186291f0a55ae3,1
did:indy:15a7aa10974a4a62,did:indy:677fb496d29b0648,1
did:indy:82e220d32aa5aef8,did:indy:677fb496d29b0648,1
did:indy:97ed2d9c7a21d49e,did:indy:50186291f0a55ae3,1
did:indy:5c066b396083cecf,did:indy:9f7d360e01593e9c,1
did:indy:3eadce4c58873925,did:indy:50186291f0a55ae3,1
did:indy:a03df7809af6c3cd,did:indy:9f7d360e01593e9c,1
did:indy:2366d785c2ee6d74,did:indy:2a63dc38cc2caa83,1
did:indy:cc4995885c596ff7,did:indy:9f7d360e01593e9c,1
did:indy:97ed2d9c7a21d49e,did:indy:9f7d360e01593e9c,1
did:indy:03ba08f236724a1a,did:indy:50186291f0a55ae3,1
did:indy:9fe71b6dcf44732d,did:indy:677fb496d29b0648,1
did:indy:7fa1a9bdf2541812,did:indy:50186291f0a55ae3,1
did:indy:1c5f84f43f621915,did:indy:9f7d360e01593e9c,1
did:indy:25684c77a0128853,did:indy:677fb496d29b0648,1
did:indy:80918e14da748122,did:indy:50186291f0a55ae3,1
did:indy:2366d785c2ee6d74,did:indy:0498be39b559ff7b,1
did:indy:903b81a47f390cb9,did:indy:9f7d360e01593e9c,1
did:indy:38db7c2db8419184,did:indy:50186291f0a55ae3,1
did:indy:e4ac0f69c15ce787,did:indy:50186291f0a55ae3,0
did:indy:0b655011ee641039,did:indy:677fb496d29b0648,0
did:indy:274b19da10ba68a1,did:indy:50186291f0a55ae3,1
did:indy:1fd46fd4315b1076,did:indy:f2c4d7de9d8556e8,1
did:indy:5807da3a6906d52f,did:indy:f2c4d7de9d8556e8,1
did:indy:1fd46fd4315b1076,did:indy:50186291f0a55ae3,1
did:indy:cc4995885c596ff7,did:indy:677fb496d29b0648,1
did:indy:e4cd9218688c077b,did:indy:677fb496d29b0648,1
did:indy:52f5986a69ee67e7,did:indy:9f7d360e01593e9c,1
did:indy:f45b23f96fb19158,did:indy:677fb496d29b0648,1
did:indy:05510f9174327615,did:indy:50186291f0a55ae3,1
did:indy:d85eac1e690afb01,did:indy:0498be39b559ff7b,1
did:indy:b4a7247e9fbe3831,did:indy:f2c4d7de9d8556e8,1
did:indy:38dc90a69c3cb25b,did:indy:50186291f0a55ae3,1
did:indy:0b655011ee641039,did:indy:0498be39b559ff7b,0
did:indy:9fe71b6dcf44732d,did:indy:f2c4d7de9d8556e8,1
did:indy:1c5f84f43f621915,did:indy:50186291f0a55ae3,1
did:indy:ee31589059ac8b64,did:indy:9f7d360e01593e9c,0
did:indy:5a0f79df989e6de1,did:indy:9f7d360e01593e9c,0
did:indy:1c208b8e16f9dff0,did:indy:9f7d360e01593e9c,0
did:indy:1fd46fd4315b1076,did:indy:9f7d360e01593e9c,1
did:indy:4a111b8497919a88,did:indy:d362c13582932671,1
did:indy:cc84fd1ff6657009,did:indy:9f7d360e01593e9c,0
did:indy:97ff0694ef150285,did:indy:9f7d360e01593e9c,0
did:indy:240c13b7c756caee,did:indy:9f7d360e01593e9c,0
did:indy:800e0a53a4da4127,did:indy:677fb496d29b0648,1
did:indy:56c2357008cf6e16,did:indy:f2c4d7de9d8556e8,1
did:indy:0b655011ee641039,did:indy:2a63dc38cc2caa83,0
did:indy:0107a26937094567,did:indy:2a63dc38cc2caa83,0
did:indy:03ba08f236724a1a,did:indy:2a63dc38cc2caa83,0
did:indy:7fcb82d68bf162d4,did:indy:50186291f0a55ae3,1
did:indy:97ff0694ef150285,did:indy:2a63dc38cc2caa83,1
did:indy:1fa4814e0421a60d,did:indy:f2c4d7de9d8556e8,1
did:indy:7395f67f7dde0b9c,did:indy:9f7d360e01593e9c,0
did:indy:e4ac0f69c15ce787,did:indy:9f7d360e01593e9c,0
did:indy:a23e3181effc87fe,did:indy:f2c4d7de9d8556e8,1
did:indy:206cd30d0ad34adc,did:indy:f2c4d7de9d8556e8,1
did:indy:e00dffd55422f753,did:indy:9f7d360e01593e9c,0
did:indy:6f39ed49e24a511d,did:indy:9f7d360e01593e9c,1
did:indy:5e04ad96ef3e55f1,did:indy:9f7d360e01593e9c,1
did:indy:5d1c25d85c9e1936,did:indy:9f7d360e01593e9c,1
did:indy:e66973990a0a167f,did:indy:677fb496d29b0648,1
did:indy:a4bc31f4b7e0d64d,did:indy:677fb496d29b0648,1
did:indy:f45be8994e34e6ce,did:indy:9f7d360e01593e9c,1
did:indy:5807da3a6906d52f,did:indy:677fb496d29b0648,1
did:indy:3fc6c23180344aa2,did:indy:f2c4d7de9d8556e8,1
did:indy:a4bc31f4b7e0d64d,did:indy:f2c4d7de9d8556e8,1
did:indy:978acd54a8de23b1,did:indy:9f7d360e01593e9c,1
did:indy:b5cf9b1d84634622,did:indy:d362c13582932671,1
did:indy:38dc90a69c3cb25b,did:indy:f2c4d7de9d8556e8,1
did:indy:10d866b027f7569f,did:indy:677fb496d29b0648,1
did:indy:10d866b027f7569f,did:indy:50186291f0a55ae3,1
did:indy:87eb62ff7a0d5bb0,did:indy:50186291f0a55ae3,1
did:indy:aab2e4647e9a5694,did:indy:341bb8e80a8cef25,0
did:indy:cc97d9b7dc5c5f84,did:indy:f2c4d7de9d8556e8,1
did:indy:cc97d9b7dc5c5f84,did:indy:50186291f0a55ae3,1
did:indy:b29fa8798b4ae98a,did:indy:677fb496d29b0648,1
did:indy:9fe71b6dcf44732d,did:indy:50186291f0a55ae3,1
did:indy:afde7d9e4545b328,did:indy:9f7d360e01593e9c,1
did:indy:7e7e00829375eb3a,did:indy:50186291f0a55ae3,1
did:indy:751f1d2d7ba5e190,did:indy:0498be39b559ff7b,1
did:indy:e4cd9218688c077b,did:indy:f2c4d7de9d8556e8,1
did:indy:f49ce751a1e7f80f,did:indy:f2c4d7de9d8556e8,1
did:indy:f53efdfea9ce681f,did:indy:50186291f0a55ae3,1
did:indy:47ea11ce9800fc06,did:indy:9f7d360e01593e9c,0
did:indy:87465b0bb537e4ba,did:indy:f2c4d7de9d8556e8,1
did:indy:cc4995885c596ff7,did:indy:50186291f0a55ae3,1
did:indy:ca6bfa716aca76ef,did:indy:50186291f0a55ae3,1
did:indy:c8b2f400f58a6c6a,did:indy:f2c4d7de9d8556e8,1
did:indy:9953300451f305e3,did:indy:f2c4d7de9d8556e8,1
did:indy:beb0145892106427,did:indy:f2c4d7de9d8556e8,1
did:indy:89bf9badb6d006b3,did:indy:50186291f0a55ae3,1
did:indy:35f296e10795afb6,did:indy:f2c4d7de9d8556e8,1
did:indy:f53efdfea9ce681f,did:indy:f2c4d7de9d8556e8,1
did:indy:e66973990a0a167f,did:indy:50186291f0a55ae3,1
did:indy:71f52af1bd2dcc13,did:indy:677fb496d29b0648,1
did:indy:0fc91d0706ef8ebd,did:indy:0498be39b559ff7b,1
did:indy:b5cf9b1d84634622,did:indy:50186291f0a55ae3,1
did:indy:2da9102758224b74,did:indy:50186291f0a55ae3,1
did:indy:49f7241bff97bea2,did:indy:50186291f0a55ae3,1
did:indy:5cbfd991e3c3f370,did:indy:9f7d360e01593e9c,0
did:indy:b092630e09e3d8fb,did:indy:50186291f0a55ae3,1
did:indy:2398c708d401d78c,did:indy:677fb496d29b0648,1
did:indy:4a29450e5e8aa3aa,did:indy:677fb496d29b0648,1
did:indy:0b6fb8e5927db884,did:indy:50186291f0a55ae3,1
did:indy:4b947bc9ccfc568d,did:indy:50186291f0a55ae3,1
did:indy:4b947bc9ccfc568d,did:indy:f2c4d7de9d8556e8,1
did:indy:b9979b9eaf16571e,did:indy:9f7d360e01593e9c,0
did:indy:44851e274ed21dc0,did:indy:677fb496d29b0648,1
did:indy:47ea11ce9800fc06,did:indy:f2c4d7de9d8556e8,0
did:indy:5303d50e026f63f9,did:indy:f2c4d7de9d8556e8,1
did:indy:e66973990a0a167f,did:indy:f2c4d7de9d8556e8,1
did:indy:aab2e4647e9a5694,did:indy:677fb496d29b0648,1
did:indy:c8b2f400f58a6c6a,did:indy:9f7d360e01593e9c,0
did:indy:fbe933305d098b30,did:indy:9f7d360e01593e9c,1
did:indy:206cd30d0ad34adc,did:indy:9f7d360e01593e9c,0
did:indy:709aab814eabf216,did:indy:50186291f0a55ae3,1
did:indy:74684806d03f8d77,did:indy:f2c4d7de9d8556e8,1
did:indy:59c86d69b02c6c6c,did:indy:50186291f0a55ae3,1
did:indy:8d9c55b0a9227cbe,did:indy:677fb496d29b0648,1
did:indy:50bc909a9737bdf8,did:indy:50186291f0a55ae3,1
did:indy:5e018f32c62e9519,did:indy:677fb496d29b0648,1
did:indy:cb5112df79dadb91,did:indy:50186291f0a55ae3,1
did:indy:4b947bc9ccfc568d,did:indy:9f7d360e01593e9c,1
did:indy:1fa4814e0421a60d,did:indy:9f7d360e01593e9c,0
did:indy:fc455279f4610052,did:indy:50186291f0a55ae3,1
